feature,bin_index,bin_lower,bin_upper,bin_midpoint,n,failures,failure_rate
clean_sufficiency,0,0.012499999999999997,0.04681680481379226,0.02965840240689613,120,63,0.525
clean_sufficiency,1,0.04681680481379226,0.08113360962758452,0.06397520722068839,84,38,0.4523809523809524
clean_sufficiency,2,0.08113360962758452,0.11545041444137678,0.09829201203448065,25,13,0.52
clean_sufficiency,3,0.11545041444137678,0.14976721925516906,0.13260881684827291,0,0,
clean_sufficiency,4,0.14976721925516906,0.1840840240689613,0.16692562166206518,24,12,0.5
clean_sufficiency,5,0.1840840240689613,0.21840082888275358,0.20124242647585744,368,182,0.4945652173913043
clean_sufficiency,6,0.21840082888275358,0.2527176336965458,0.2355592312896497,388,196,0.5051546391752577
clean_sufficiency,7,0.2527176336965458,0.2870344385103381,0.26987603610344196,122,61,0.5
clean_sufficiency,8,0.2870344385103381,0.3213512433241304,0.30419284091723425,66,34,0.5151515151515151
clean_sufficiency,9,0.3213512433241304,0.35566804813792263,0.3385096457310265,3,1,0.3333333333333333
worst_sufficiency,0,0.007899195301300704,0.03892721059902394,0.02341320295016232,190,139,0.7315789473684211
worst_sufficiency,1,0.03892721059902394,0.06995522589674717,0.05444121824788556,114,66,0.5789473684210527
worst_sufficiency,2,0.06995522589674717,0.10098324119447041,0.08546923354560879,52,37,0.7115384615384616
worst_sufficiency,3,0.10098324119447041,0.13201125649219364,0.11649724884333203,25,24,0.96
worst_sufficiency,4,0.13201125649219364,0.16303927178991687,0.14752526414105527,24,22,0.9166666666666666
worst_sufficiency,5,0.16303927178991687,0.19406728708764012,0.1785532794387785,140,70,0.5
worst_sufficiency,6,0.19406728708764012,0.22509530238536335,0.20958129473650172,349,129,0.36962750716332377
worst_sufficiency,7,0.22509530238536335,0.2561233176830866,0.24060931003422498,213,84,0.39436619718309857
worst_sufficiency,8,0.2561233176830866,0.28715133298080986,0.27163732533194823,78,24,0.3076923076923077
worst_sufficiency,9,0.28715133298080986,0.318179348278533,0.30266534062967143,15,5,0.3333333333333333
mean_sufficiency,0,0.012499999999999997,0.04494236982082278,0.02872118491041139,145,90,0.6206896551724138
mean_sufficiency,1,0.04494236982082278,0.07738473964164556,0.06116355473123417,67,20,0.29850746268656714
mean_sufficiency,2,0.07738473964164556,0.10982710946246835,0.09360592455205696,29,17,0.5862068965517241
mean_sufficiency,3,0.10982710946246835,0.14226947928329114,0.12604829437287973,71,70,0.9859154929577465
mean_sufficiency,4,0.14226947928329114,0.17471184910411391,0.15849066419370253,59,53,0.8983050847457628
mean_sufficiency,5,0.17471184910411391,0.20715421892493668,0.1909330340145253,250,120,0.48
mean_sufficiency,6,0.20715421892493668,0.2395965887457595,0.2233754038353481,365,139,0.38082191780821917
mean_sufficiency,7,0.2395965887457595,0.2720389585665823,0.25581777365617087,145,64,0.4413793103448276
mean_sufficiency,8,0.2720389585665823,0.30448132838740505,0.2882601434769937,64,26,0.40625
mean_sufficiency,9,0.30448132838740505,0.3369236982082278,0.3207025132978164,5,1,0.2
