orbit_id,split,auditor2_label_answerable,auditor2_failure_type,auditor2_notes
fever:94cff231066cd7bb0dd7919d994b751e:fragile_mixed,fever_fragile_mixed,,,
hotpot:5ab73de755429928e1fe383b:stable,hotpot_stable_support,,,
fever:a02cf18b2eac563586ebc1e352083598:fragile_mixed,fever_fragile_mixed,,,
hotpot:5a8f51185542992414482a3d:distractor,hotpot_distractor,,,
fever:9293053261bd11864297fff006954b5d:distractor,fever_distractor_only,,,
fever:efaa1d474d21ffa19b63774688647fb9:conflict,fever_conflicting_evidence,,,
fever:7a56b2553b5fcf98ea4085b44e3a2600:near_miss_dilution,fever_near_miss_dilution,,,
fever:e05a51cafbd8c4be0f3401856dce4d31:distractor,fever_distractor_only,,,
fever:7e9762ee6c4efa13ed99af56637216f1:conflict,fever_conflicting_evidence,,,
fever:d2bd42eaa9cedda8c0c915a7710e6b40:conflict,fever_conflicting_evidence,,,
fever:eef6bd3d396ee24873d0517fe83cb858:missing,fever_missing_evidence,,,
hotpot:5ab3eac5554299753aec59ec:stable,hotpot_stable_support,,,
fever:9ce7a3370a1ef433fd162ae2531e1295:near_miss_dilution,fever_near_miss_dilution,,,
hotpot:5a80427c5542996402f6a49f:missing_hop,hotpot_missing_hop,,,
fever:39e2c346d921b1cf928c335de87aff04:distractor,fever_distractor_only,,,
hotpot:5ae38b115542990afbd1e183:missing_hop,hotpot_missing_hop,,,
fever:e12e32729e391a93597d4c7e2b63f99e:stable,fever_stable_evidence,,,
fever:e78bf9a76368d6c5284f5f7bbd1efc87:fragile_mixed,fever_fragile_mixed,,,
fever:f3cffe1ebb230874242b5217148b5261:stable,fever_stable_evidence,,,
fever:94cff231066cd7bb0dd7919d994b751e:distractor,fever_distractor_only,,,
fever:7f6131290bb117022e3b06c9d77d6b48:distractor,fever_distractor_only,,,
hotpot:5a8f122955429918e830d17f:missing_hop,hotpot_missing_hop,,,
hotpot:5ab310bb554299233954fef9:false_premise,hotpot_false_premise,,,
hotpot:5abaca935542996606241610:stable,hotpot_stable_support,,,
fever:97737556c394b3e18ce3e6b9f9eabdbb:conflict,fever_conflicting_evidence,,,
fever:a0229b8a5bda0d77e76ad5f6516eeba6:fragile_mixed,fever_fragile_mixed,,,
fever:ff470cdb7d243445a931aac589d10bbd:near_miss_dilution,fever_near_miss_dilution,,,
hotpot:5abc0aba55429959677d6a00:stable,hotpot_stable_support,,,
fever:e664966e5d4221ca1c89f8dcaafa9b2b:fragile_mixed,fever_fragile_mixed,,,
fever:131cfc71be48c87b8e807f505c0ee87e:missing,fever_missing_evidence,,,
hotpot:5a8fc3b155429933b8a20454:distractor,hotpot_distractor,,,
hotpot:5adbe27c55429947ff173854:missing_hop,hotpot_missing_hop,,,
hotpot:5a7a5ccf55429941d65f25d7:false_premise,hotpot_false_premise,,,
fever:d2bd42eaa9cedda8c0c915a7710e6b40:missing,fever_missing_evidence,,,
fever:2dbd0b3bcce895af1d6a589162c0e985:fragile_mixed,fever_fragile_mixed,,,
hotpot:5a7dedef5542995f4f40231a:false_premise,hotpot_false_premise,,,
fever:db98ccda02c4297037258ef3796b649d:conflict,fever_conflicting_evidence,,,
fever:5da5431d3ebafc97af8b86a08bcd9dda:missing,fever_missing_evidence,,,
fever:efaa1d474d21ffa19b63774688647fb9:near_miss_dilution,fever_near_miss_dilution,,,
fever:28bb3026015b49fc2b3eea69e9529354:missing,fever_missing_evidence,,,
fever:d8402c85e9e2cddc52f225065671ba73:missing,fever_missing_evidence,,,
hotpot:5ac4f12d55429924173fb4f6:distractor,hotpot_distractor,,,
hotpot:5abc40835542993a06baf8ba:missing_hop,hotpot_missing_hop,,,
fever:0b0dda32d23748d1f1d54a53aec59f0f:near_miss_dilution,fever_near_miss_dilution,,,
hotpot:5ac0e0c75542997d64295a6e:missing_hop,hotpot_missing_hop,,,
hotpot:5a8534305542997b5ce3ffc4:false_premise,hotpot_false_premise,,,
fever:c952e1b34e8381bbfa7e4e27c0e090c8:missing,fever_missing_evidence,,,
hotpot:5abb254c5542992ccd8e7f29:distractor,hotpot_distractor,,,
hotpot:5adce88b5542992c1e3a249a:stable,hotpot_stable_support,,,
hotpot:5ab69f9a554299710c8d1ef8:stable,hotpot_stable_support,,,
hotpot:5ab412da5542996a3a969f15:distractor,hotpot_distractor,,,
fever:697be4a7cdb5be5ee8eae856dfe3ab75:distractor,fever_distractor_only,,,
hotpot:5ac344d6554299741d48a23f:missing_hop,hotpot_missing_hop,,,
fever:8386a16d42aff843b3f5900721ff8584:fragile_mixed,fever_fragile_mixed,,,
fever:b25e32964523c07fd47e9cd1bb68b845:distractor,fever_distractor_only,,,
fever:5d9282f0cb8850175acab6e07f0716da:conflict,fever_conflicting_evidence,,,
fever:e98601b95229fe29c1f23d942aae4cc1:stable,fever_stable_evidence,,,
fever:866e2191329e78c18867eac04469b257:near_miss_dilution,fever_near_miss_dilution,,,
fever:4e9239e9e3fd26fd8bd5dbdccdf235af:fragile_mixed,fever_fragile_mixed,,,
fever:c5be6fa5aa32762ecaf98fcba95eb911:fragile_mixed,fever_fragile_mixed,,,
fever:6383289a5759f26a092647fa55a3a4c6:stable,fever_stable_evidence,,,
hotpot:5a8b3af455429971feec467b:false_premise,hotpot_false_premise,,,
fever:ee31832067dcc51caed85b175103dabd:distractor,fever_distractor_only,,,
fever:070dbd16a014f434e820abb15c786eec:near_miss_dilution,fever_near_miss_dilution,,,
hotpot:5abc41315542993a06baf8bb:false_premise,hotpot_false_premise,,,
fever:cbddc41e8b7411878164fba2271610d3:missing,fever_missing_evidence,,,
hotpot:5a89810655429946c8d6e929:distractor,hotpot_distractor,,,
fever:5aa0827e87352d3ddcb9acd557ea7fbb:missing,fever_missing_evidence,,,
fever:e9a002d9b8a6e29528cc5c22393f0953:near_miss_dilution,fever_near_miss_dilution,,,
hotpot:5a89f58f5542992e4fca84af:missing_hop,hotpot_missing_hop,,,
hotpot:5abcf14f55429959677d6b5b:missing_hop,hotpot_missing_hop,,,
fever:3afbb7e573c19bd10135552a58052f8f:stable,fever_stable_evidence,,,
fever:ddbd2bc31b979f619ba48ecaabfaff15:near_miss_dilution,fever_near_miss_dilution,,,
fever:3d9e9e2b76514d5c75279c270668d433:distractor,fever_distractor_only,,,
hotpot:5a8c7ac2554299653c1aa08e:missing_hop,hotpot_missing_hop,,,
hotpot:5a7563a45542996c70cfaeec:false_premise,hotpot_false_premise,,,
hotpot:5a7555215542996c70cfaee1:stable,hotpot_stable_support,,,
hotpot:5a84564c5542990548d0b288:false_premise,hotpot_false_premise,,,
fever:d8402c85e9e2cddc52f225065671ba73:stable,fever_stable_evidence,,,
fever:96f275ebb085417f02bf30881db222e0:conflict,fever_conflicting_evidence,,,
hotpot:5ac0c1cf5542992a796ded7c:stable,hotpot_stable_support,,,
fever:ff470cdb7d243445a931aac589d10bbd:conflict,fever_conflicting_evidence,,,
fever:779a260fbd28c6c5d956bc7d9588db89:near_miss_dilution,fever_near_miss_dilution,,,
fever:59ab9a19f6ea398f9f2f88bf5d244676:distractor,fever_distractor_only,,,
fever:131cfc71be48c87b8e807f505c0ee87e:conflict,fever_conflicting_evidence,,,
hotpot:5a8257fa55429940e5e1a866:false_premise,hotpot_false_premise,,,
hotpot:5ab3eac5554299753aec59ec:distractor,hotpot_distractor,,,
fever:cf683703b3a361c8aed05950f601332f:missing,fever_missing_evidence,,,
fever:779a260fbd28c6c5d956bc7d9588db89:stable,fever_stable_evidence,,,
fever:c7d03c435e1e49f8809b961413e74f41:fragile_mixed,fever_fragile_mixed,,,
hotpot:5abadc355542996606241644:stable,hotpot_stable_support,,,
hotpot:5a89a74e554299669944a562:stable,hotpot_stable_support,,,
hotpot:5a7905f555429974737f7947:distractor,hotpot_distractor,,,
hotpot:5abba584554299642a094afa:false_premise,hotpot_false_premise,,,
hotpot:5a84bda45542992a431d1a96:distractor,hotpot_distractor,,,
fever:8c26fbff2d3e8667542610aed07c901f:stable,fever_stable_evidence,,,
hotpot:5a83d0845542996488c2e4e6:distractor,hotpot_distractor,,,
fever:c0b9264aefc974f1819172e5853b9ea3:stable,fever_stable_evidence,,,
fever:562d69d6c90f3abd6c404931d754390c:stable,fever_stable_evidence,,,
fever:45856a1df32c21ec1c9004a1ad73801e:conflict,fever_conflicting_evidence,,,
