orbit_id,split,expected_label_answerable,auditor_label_answerable,auditor_failure_type,auditor_notes,auditor2_label_answerable,auditor2_failure_type,auditor2_notes,adjudicated_label_answerable,adjudication_notes
fever:0222cd14e3c1da3a98f2d56dc50b875f:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:f2a38cc0b0a3707ec5e41f9f3dcec52b:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:56ba53ef115ae2c4ecde753bb3753720:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:4c7ed298fb26519aa7a58a94e27abd79:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:b2202ce8707ceab38737f6f75b7b710e:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:054f84726fc03b6b9a3dbb451d7ce66f:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:38eab856ff1ff21f6f103a0a0f6aeff5:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:b39d84bf9eda57cf0901e4cd83d150a7:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:1abe6bf91985ab5ea8719381c510f5da:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:016714803910e36a4d8f16b464dcb617:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:48f5f70e6fe2f4fc1832e6fe5854c968:distractor,fever_distractor_only,false,,,,,,,,
fever:8e5bce57b08fa33fe5f916cf4b4baaa2:distractor,fever_distractor_only,false,,,,,,,,
fever:7466dbd0ec1b3c658b82f41744d30ea7:distractor,fever_distractor_only,false,,,,,,,,
fever:b51b7780dc39a17fa6b1646f0a0274af:distractor,fever_distractor_only,false,,,,,,,,
fever:5e85124bcdf4cc6586d31b0a34d39834:distractor,fever_distractor_only,false,,,,,,,,
fever:e8f235cdc9269c5928f507f9603929fa:distractor,fever_distractor_only,false,,,,,,,,
fever:36791253a6dae3457ffbdc0bd76cad5d:distractor,fever_distractor_only,false,,,,,,,,
fever:461e5e43eaec137b54d7c604aee6fb38:distractor,fever_distractor_only,false,,,,,,,,
fever:d775cdfa9e80847219c174af7893ef0e:distractor,fever_distractor_only,false,,,,,,,,
fever:3330cf2427b9766f8a7ba4b6c22bdb67:distractor,fever_distractor_only,false,,,,,,,,
fever:94e4b7bf865fe56506ba2ffc24a6dced:fragile_mixed,fever_fragile_mixed,false,,,,,,,,
fever:1c4002eb1ee66c816030357de9f5ada7:fragile_mixed,fever_fragile_mixed,false,,,,,,,,
fever:554756e51326df724ebbef50e3175916:fragile_mixed,fever_fragile_mixed,false,,,,,,,,
fever:dd237b1c0799c3098721eb9f10c0b8a3:fragile_mixed,fever_fragile_mixed,false,,,,,,,,
fever:bdea39338edbc0d7c1763b26c1706893:fragile_mixed,fever_fragile_mixed,false,,,,,,,,
fever:cd5e249e7a859becb94adb75bf574c67:fragile_mixed,fever_fragile_mixed,false,,,,,,,,
fever:e03cffc0671620bb304cd4f8979d59bd:fragile_mixed,fever_fragile_mixed,false,,,,,,,,
fever:83d6a70d4372aad244a0527fabb54494:fragile_mixed,fever_fragile_mixed,false,,,,,,,,
fever:230446a9d1e169e2a056a0ccfab67813:fragile_mixed,fever_fragile_mixed,false,,,,,,,,
fever:f2a38cc0b0a3707ec5e41f9f3dcec52b:fragile_mixed,fever_fragile_mixed,false,,,,,,,,
fever:7976b9f18968112447d906bbf5f7eb1b:missing,fever_missing_evidence,false,,,,,,,,
fever:64b4a0a09f8bfff1f6ce4b71fddba7c9:missing,fever_missing_evidence,false,,,,,,,,
fever:3e3cf2f3b300405b4df42f58cd57f786:missing,fever_missing_evidence,false,,,,,,,,
fever:702df8de20befaa697b7f16b0bcf23af:missing,fever_missing_evidence,false,,,,,,,,
fever:13858b57b98e2f9c12409b0725794920:missing,fever_missing_evidence,false,,,,,,,,
fever:ce9162d5ca725a54e1507fc8a3f1e491:missing,fever_missing_evidence,false,,,,,,,,
fever:2e67502bce2f4e30b9aaed2e3aff8db3:missing,fever_missing_evidence,false,,,,,,,,
fever:e663d5f8f00d2fd1ea27ccf63ec662c0:missing,fever_missing_evidence,false,,,,,,,,
fever:66b79a49ae82dd00f020bed681b8d327:missing,fever_missing_evidence,false,,,,,,,,
fever:843b3f6987c7a1780290ba1877c8d187:missing,fever_missing_evidence,false,,,,,,,,
fever:91a6285eee0f1424f6cddfecf770c9ab:near_miss_dilution,fever_near_miss_dilution,false,,,,,,,,
fever:8824627ac67df3c1385bbeba4d9b9900:near_miss_dilution,fever_near_miss_dilution,false,,,,,,,,
fever:bdea39338edbc0d7c1763b26c1706893:near_miss_dilution,fever_near_miss_dilution,false,,,,,,,,
fever:610a2445aa427f79056046f97acfc350:near_miss_dilution,fever_near_miss_dilution,false,,,,,,,,
fever:0cff660cc8477c3853a08a41441f4cc4:near_miss_dilution,fever_near_miss_dilution,false,,,,,,,,
fever:fff87ad0354c088c7fef4b7e21342f94:near_miss_dilution,fever_near_miss_dilution,false,,,,,,,,
fever:8a4f5c335c85011811cd326d0532a5bd:near_miss_dilution,fever_near_miss_dilution,false,,,,,,,,
fever:702df8de20befaa697b7f16b0bcf23af:near_miss_dilution,fever_near_miss_dilution,false,,,,,,,,
fever:7e1db4a650a7b6af58262f177d3186e5:near_miss_dilution,fever_near_miss_dilution,false,,,,,,,,
fever:e03cffc0671620bb304cd4f8979d59bd:near_miss_dilution,fever_near_miss_dilution,false,,,,,,,,
fever:03c14a49b6c6ab52e1a7ef634b4cf997:stable,fever_stable_evidence,true,,,,,,,,
fever:53dff39d43e881fae9e66887c9b25eca:stable,fever_stable_evidence,true,,,,,,,,
fever:d5306949867167b98ec9be90b04f184b:stable,fever_stable_evidence,true,,,,,,,,
fever:70b4102837ac267192f2476b1e813433:stable,fever_stable_evidence,true,,,,,,,,
fever:386d36c945bb011d1acb6a755d1914c9:stable,fever_stable_evidence,true,,,,,,,,
fever:793efde1706e1eaad1572938ede4ea5f:stable,fever_stable_evidence,true,,,,,,,,
fever:9e77fb9bb0b14f24af74610baefccba8:stable,fever_stable_evidence,true,,,,,,,,
fever:30c91495984c16a6f1f0f40734b2f046:stable,fever_stable_evidence,true,,,,,,,,
fever:f795541099098c3ea2fc43775a0bfb6a:stable,fever_stable_evidence,true,,,,,,,,
fever:016714803910e36a4d8f16b464dcb617:stable,fever_stable_evidence,true,,,,,,,,
hotpot:5a7a3bed5542996c55b2dd45:distractor,hotpot_distractor,false,,,,,,,,
hotpot:5ade6b67554299728e26c71c:distractor,hotpot_distractor,false,,,,,,,,
hotpot:5a7dedef5542995f4f40231a:distractor,hotpot_distractor,false,,,,,,,,
hotpot:5add39c45542995b365faac5:distractor,hotpot_distractor,false,,,,,,,,
hotpot:5ab7f3285542992aa3b8c88f:distractor,hotpot_distractor,false,,,,,,,,
hotpot:5abcf14f55429959677d6b5b:distractor,hotpot_distractor,false,,,,,,,,
hotpot:5a8cbce1554299653c1aa103:distractor,hotpot_distractor,false,,,,,,,,
hotpot:5ae52c0f5542992663a4f12e:distractor,hotpot_distractor,false,,,,,,,,
hotpot:5ac10832554299012d1db687:distractor,hotpot_distractor,false,,,,,,,,
hotpot:5adec4695542992fa25da83a:distractor,hotpot_distractor,false,,,,,,,,
hotpot:5abeb3525542993fe9a41d03:false_premise,hotpot_false_premise,false,,,,,,,,
hotpot:5a7615fb5542992db9473727:false_premise,hotpot_false_premise,false,,,,,,,,
hotpot:5a777fd655429949eeb29e93:false_premise,hotpot_false_premise,false,,,,,,,,
hotpot:5ae1f079554299234fd04343:false_premise,hotpot_false_premise,false,,,,,,,,
hotpot:5ab9aed855429970cfb8eb6d:false_premise,hotpot_false_premise,false,,,,,,,,
hotpot:5ac344d6554299741d48a23f:false_premise,hotpot_false_premise,false,,,,,,,,
hotpot:5a90b43455429916514e7523:false_premise,hotpot_false_premise,false,,,,,,,,
hotpot:5ae07ddb55429945ae95937b:false_premise,hotpot_false_premise,false,,,,,,,,
hotpot:5a8f122955429918e830d17f:false_premise,hotpot_false_premise,false,,,,,,,,
hotpot:5a80e4b255429938b6142239:false_premise,hotpot_false_premise,false,,,,,,,,
hotpot:5a7dedef5542995f4f40231a:missing_hop,hotpot_missing_hop,false,,,,,,,,
hotpot:5ac3a7f75542993915413890:missing_hop,hotpot_missing_hop,false,,,,,,,,
hotpot:5abcfc365542993a06baf9d6:missing_hop,hotpot_missing_hop,false,,,,,,,,
hotpot:5a8712095542991e771816af:missing_hop,hotpot_missing_hop,false,,,,,,,,
hotpot:5ae2c416554299492dc91c67:missing_hop,hotpot_missing_hop,false,,,,,,,,
hotpot:5a8ec7cc5542995a26add518:missing_hop,hotpot_missing_hop,false,,,,,,,,
hotpot:5ab1eac95542993be8fa987f:missing_hop,hotpot_missing_hop,false,,,,,,,,
hotpot:5a7905f555429974737f7947:missing_hop,hotpot_missing_hop,false,,,,,,,,
hotpot:5ae73c065542991e8301cc18:missing_hop,hotpot_missing_hop,false,,,,,,,,
hotpot:5a8e296f554299068b959e71:missing_hop,hotpot_missing_hop,false,,,,,,,,
hotpot:5a84bda45542992a431d1a96:stable,hotpot_stable_support,true,,,,,,,,
hotpot:5abaca935542996606241610:stable,hotpot_stable_support,true,,,,,,,,
hotpot:5a774e9c55429972597f14f3:stable,hotpot_stable_support,true,,,,,,,,
hotpot:5a72c6f65542994cef4bc402:stable,hotpot_stable_support,true,,,,,,,,
hotpot:5a7de14a5542991319bc93fc:stable,hotpot_stable_support,true,,,,,,,,
hotpot:5adec4695542992fa25da83a:stable,hotpot_stable_support,true,,,,,,,,
hotpot:5ac30a79554299657fa290e2:stable,hotpot_stable_support,true,,,,,,,,
hotpot:5ae537e45542990ba0bbb235:stable,hotpot_stable_support,true,,,,,,,,
