orbit_id,split,auditor2_label_answerable,auditor2_failure_type,auditor2_notes
hotpot:5a80427c5542996402f6a49f:missing_hop,hotpot_missing_hop,,,
hotpot:5a89a74e554299669944a562:missing_hop,hotpot_missing_hop,,,
fever:054f84726fc03b6b9a3dbb451d7ce66f:near_miss_dilution,fever_near_miss_dilution,,,
hotpot:5a8f51185542992414482a3d:missing_hop,hotpot_missing_hop,,,
fever:13858b57b98e2f9c12409b0725794920:missing,fever_missing_evidence,,,
fever:3556f2e9d8f29aa49df0dbfc64bfd9a3:conflict,fever_conflicting_evidence,,,
hotpot:5ae1568a55429901ffe4ae6b:distractor,hotpot_distractor,,,
fever:3701d7097c281592457c545c8b475704:distractor,fever_distractor_only,,,
fever:d1cf08aca5499414fe3c1ea49a3c6122:missing,fever_missing_evidence,,,
hotpot:5a8a9bc15542996c9b8d5f36:false_premise,hotpot_false_premise,,,
fever:38eab856ff1ff21f6f103a0a0f6aeff5:distractor,fever_distractor_only,,,
fever:92fc5c3d85cffe74a2ccbca0986f594c:fragile_mixed,fever_fragile_mixed,,,
hotpot:5a85e57a5542994c784ddbb1:distractor,hotpot_distractor,,,
hotpot:5a8430335542996488c2e500:missing_hop,hotpot_missing_hop,,,
fever:bdea39338edbc0d7c1763b26c1706893:near_miss_dilution,fever_near_miss_dilution,,,
hotpot:5a7615fb5542992db9473727:distractor,hotpot_distractor,,,
hotpot:5ab3ede755429976abd1bcf4:false_premise,hotpot_false_premise,,,
fever:989083e3842960fb273023ac7f0ba590:missing,fever_missing_evidence,,,
hotpot:5a8a9bc15542996c9b8d5f36:missing_hop,hotpot_missing_hop,,,
fever:e5058780c6af8f09b4713c01e3add958:missing,fever_missing_evidence,,,
fever:06c922a2c8055b776a5dd602e4bca0fc:conflict,fever_conflicting_evidence,,,
fever:f6d156ccf0c13686b94dfeaaf9536405:near_miss_dilution,fever_near_miss_dilution,,,
hotpot:5a8e296f554299068b959e71:missing_hop,hotpot_missing_hop,,,
fever:55dbea21a5ddc78795fe720e6d2cd90f:stable,fever_stable_evidence,,,
fever:fff87ad0354c088c7fef4b7e21342f94:near_miss_dilution,fever_near_miss_dilution,,,
fever:bf3eea8691dfb03c74e91d3438f534cb:near_miss_dilution,fever_near_miss_dilution,,,
fever:a28bfe8eecf49a564888377f1079aa98:near_miss_dilution,fever_near_miss_dilution,,,
fever:651fe439c46d953ed6d07914e2e745bf:missing,fever_missing_evidence,,,
fever:e79ca55ffb7ccadbf119ed662e0d2d6b:conflict,fever_conflicting_evidence,,,
fever:65f29071cff978f1c74896b902a2d130:distractor,fever_distractor_only,,,
fever:b39d84bf9eda57cf0901e4cd83d150a7:missing,fever_missing_evidence,,,
hotpot:5a8f2fed55429918e830d1c7:missing_hop,hotpot_missing_hop,,,
hotpot:5a8fc3b155429933b8a20454:distractor,hotpot_distractor,,,
hotpot:5a8319b255429940e5e1a960:distractor,hotpot_distractor,,,
fever:3556f2e9d8f29aa49df0dbfc64bfd9a3:missing,fever_missing_evidence,,,
hotpot:5a90b43455429916514e7523:missing_hop,hotpot_missing_hop,,,
hotpot:5a8e296f554299068b959e71:distractor,hotpot_distractor,,,
hotpot:5abcf14f55429959677d6b5b:distractor,hotpot_distractor,,,
fever:2138380aeaca8fe933ae0d605734bb12:conflict,fever_conflicting_evidence,,,
hotpot:5addfe1c5542995b365fabaf:stable,hotpot_stable_support,,,
fever:03c14a49b6c6ab52e1a7ef634b4cf997:stable,fever_stable_evidence,,,
fever:c912588579ded55d3357f5223ac1a586:stable,fever_stable_evidence,,,
hotpot:5ade79335542997c77adee38:distractor,hotpot_distractor,,,
fever:3381ded44836d92177a23c03b4f2a0fd:distractor,fever_distractor_only,,,
hotpot:5ab97cd0554299753720f81a:missing_hop,hotpot_missing_hop,,,
fever:836c9cbbf4318eec179b9522b945efd4:distractor,fever_distractor_only,,,
hotpot:5ab9aed855429970cfb8eb6d:stable,hotpot_stable_support,,,
fever:f711e56b9e7d416533dcb19ad93e0d55:missing,fever_missing_evidence,,,
hotpot:5abadc355542996606241644:false_premise,hotpot_false_premise,,,
hotpot:5ae537e45542990ba0bbb235:distractor,hotpot_distractor,,,
fever:47ad43b593026f0823c03124e460808c:fragile_mixed,fever_fragile_mixed,,,
fever:7466dbd0ec1b3c658b82f41744d30ea7:conflict,fever_conflicting_evidence,,,
