audit_id,auditor_labels,adjudicated_label_answerable,adjudication_notes
fever-v4-n100-00001,auditor1=:; auditor2=:,,
fever-v4-n100-00002,auditor1=:; auditor2=:,,
fever-v4-n100-00003,auditor1=:; auditor2=:,,
fever-v4-n100-00004,auditor1=:; auditor2=:,,
fever-v4-n100-00005,auditor1=:; auditor2=:,,
fever-v4-n100-00006,auditor1=:; auditor2=:,,
fever-v4-n100-00007,auditor1=:; auditor2=:,,
fever-v4-n100-00008,auditor1=:; auditor2=:,,
fever-v4-n100-00009,auditor1=:; auditor2=:,,
fever-v4-n100-00010,auditor1=:; auditor2=:,,
fever-v4-n100-00011,auditor1=:; auditor2=:,,
fever-v4-n100-00012,auditor1=:; auditor2=:,,
fever-v4-n100-00013,auditor1=:; auditor2=:,,
fever-v4-n100-00014,auditor1=:; auditor2=:,,
fever-v4-n100-00015,auditor1=:; auditor2=:,,
fever-v4-n100-00016,auditor1=:; auditor2=:,,
fever-v4-n100-00017,auditor1=:; auditor2=:,,
fever-v4-n100-00018,auditor1=:; auditor2=:,,
fever-v4-n100-00019,auditor1=:; auditor2=:,,
fever-v4-n100-00020,auditor1=:; auditor2=:,,
fever-v4-n100-00021,auditor1=:; auditor2=:,,
fever-v4-n100-00022,auditor1=:; auditor2=:,,
fever-v4-n100-00023,auditor1=:; auditor2=:,,
fever-v4-n100-00024,auditor1=:; auditor2=:,,
fever-v4-n100-00025,auditor1=:; auditor2=:,,
fever-v4-n100-00026,auditor1=:; auditor2=:,,
fever-v4-n100-00027,auditor1=:; auditor2=:,,
fever-v4-n100-00028,auditor1=:; auditor2=:,,
fever-v4-n100-00029,auditor1=:; auditor2=:,,
fever-v4-n100-00030,auditor1=:; auditor2=:,,
fever-v4-n100-00031,auditor1=:; auditor2=:,,
fever-v4-n100-00032,auditor1=:; auditor2=:,,
fever-v4-n100-00033,auditor1=:; auditor2=:,,
fever-v4-n100-00034,auditor1=:; auditor2=:,,
fever-v4-n100-00035,auditor1=:; auditor2=:,,
fever-v4-n100-00036,auditor1=:; auditor2=:,,
fever-v4-n100-00037,auditor1=:; auditor2=:,,
fever-v4-n100-00038,auditor1=:; auditor2=:,,
fever-v4-n100-00039,auditor1=:; auditor2=:,,
fever-v4-n100-00040,auditor1=:; auditor2=:,,
fever-v4-n100-00041,auditor1=:; auditor2=:,,
fever-v4-n100-00042,auditor1=:; auditor2=:,,
fever-v4-n100-00043,auditor1=:; auditor2=:,,
fever-v4-n100-00044,auditor1=:; auditor2=:,,
fever-v4-n100-00045,auditor1=:; auditor2=:,,
fever-v4-n100-00046,auditor1=:; auditor2=:,,
fever-v4-n100-00047,auditor1=:; auditor2=:,,
fever-v4-n100-00048,auditor1=:; auditor2=:,,
fever-v4-n100-00049,auditor1=:; auditor2=:,,
