audit_id,auditor_labels,adjudicated_label_semantic,adjudicated_label_answerable,adjudication_notes
hpsem-00001,auditor1=:; auditor2=:,,,
hpsem-00002,auditor1=:; auditor2=:,,,
hpsem-00003,auditor1=:; auditor2=:,,,
hpsem-00004,auditor1=:; auditor2=:,,,
hpsem-00005,auditor1=:; auditor2=:,,,
hpsem-00006,auditor1=:; auditor2=:,,,
hpsem-00007,auditor1=:; auditor2=:,,,
hpsem-00008,auditor1=:; auditor2=:,,,
hpsem-00009,auditor1=:; auditor2=:,,,
hpsem-00010,auditor1=:; auditor2=:,,,
hpsem-00011,auditor1=:; auditor2=:,,,
hpsem-00012,auditor1=:; auditor2=:,,,
hpsem-00013,auditor1=:; auditor2=:,,,
hpsem-00014,auditor1=:; auditor2=:,,,
hpsem-00015,auditor1=:; auditor2=:,,,
hpsem-00016,auditor1=:; auditor2=:,,,
hpsem-00017,auditor1=:; auditor2=:,,,
hpsem-00018,auditor1=:; auditor2=:,,,
hpsem-00019,auditor1=:; auditor2=:,,,
hpsem-00020,auditor1=:; auditor2=:,,,
hpsem-00021,auditor1=:; auditor2=:,,,
hpsem-00022,auditor1=:; auditor2=:,,,
hpsem-00023,auditor1=:; auditor2=:,,,
hpsem-00024,auditor1=:; auditor2=:,,,
hpsem-00025,auditor1=:; auditor2=:,,,
hpsem-00026,auditor1=:; auditor2=:,,,
hpsem-00027,auditor1=:; auditor2=:,,,
hpsem-00028,auditor1=:; auditor2=:,,,
hpsem-00029,auditor1=:; auditor2=:,,,
hpsem-00030,auditor1=:; auditor2=:,,,
hpsem-00031,auditor1=:; auditor2=:,,,
hpsem-00032,auditor1=:; auditor2=:,,,
hpsem-00033,auditor1=:; auditor2=:,,,
hpsem-00034,auditor1=:; auditor2=:,,,
hpsem-00035,auditor1=:; auditor2=:,,,
hpsem-00036,auditor1=:; auditor2=:,,,
hpsem-00037,auditor1=:; auditor2=:,,,
hpsem-00038,auditor1=:; auditor2=:,,,
hpsem-00039,auditor1=:; auditor2=:,,,
hpsem-00040,auditor1=:; auditor2=:,,,
hpsem-00041,auditor1=:; auditor2=:,,,
hpsem-00042,auditor1=:; auditor2=:,,,
hpsem-00043,auditor1=:; auditor2=:,,,
hpsem-00044,auditor1=:; auditor2=:,,,
hpsem-00045,auditor1=:; auditor2=:,,,
hpsem-00046,auditor1=:; auditor2=:,,,
hpsem-00047,auditor1=:; auditor2=:,,,
hpsem-00048,auditor1=:; auditor2=:,,,
hpsem-00049,auditor1=:; auditor2=:,,,
hpsem-00050,auditor1=:; auditor2=:,,,
hpsem-00051,auditor1=:; auditor2=:,,,
hpsem-00052,auditor1=:; auditor2=:,,,
hpsem-00053,auditor1=:; auditor2=:,,,
hpsem-00054,auditor1=:; auditor2=:,,,
hpsem-00055,auditor1=:; auditor2=:,,,
hpsem-00056,auditor1=:; auditor2=:,,,
hpsem-00057,auditor1=:; auditor2=:,,,
hpsem-00058,auditor1=:; auditor2=:,,,
hpsem-00059,auditor1=:; auditor2=:,,,
hpsem-00060,auditor1=:; auditor2=:,,,
hpsem-00061,auditor1=:; auditor2=:,,,
hpsem-00062,auditor1=:; auditor2=:,,,
hpsem-00063,auditor1=:; auditor2=:,,,
hpsem-00064,auditor1=:; auditor2=:,,,
hpsem-00065,auditor1=:; auditor2=:,,,
hpsem-00066,auditor1=:; auditor2=:,,,
hpsem-00067,auditor1=:; auditor2=:,,,
hpsem-00068,auditor1=:; auditor2=:,,,
hpsem-00069,auditor1=:; auditor2=:,,,
hpsem-00070,auditor1=:; auditor2=:,,,
hpsem-00071,auditor1=:; auditor2=:,,,
hpsem-00072,auditor1=:; auditor2=:,,,
hpsem-00073,auditor1=:; auditor2=:,,,
hpsem-00074,auditor1=:; auditor2=:,,,
hpsem-00075,auditor1=:; auditor2=:,,,
hpsem-00076,auditor1=:; auditor2=:,,,
hpsem-00077,auditor1=:; auditor2=:,,,
hpsem-00078,auditor1=:; auditor2=:,,,
hpsem-00079,auditor1=:; auditor2=:,,,
hpsem-00080,auditor1=:; auditor2=:,,,
hpsem-00081,auditor1=:; auditor2=:,,,
hpsem-00082,auditor1=:; auditor2=:,,,
hpsem-00083,auditor1=:; auditor2=:,,,
hpsem-00084,auditor1=:; auditor2=:,,,
hpsem-00085,auditor1=:; auditor2=:,,,
hpsem-00086,auditor1=:; auditor2=:,,,
hpsem-00087,auditor1=:; auditor2=:,,,
hpsem-00088,auditor1=:; auditor2=:,,,
hpsem-00089,auditor1=:; auditor2=:,,,
hpsem-00090,auditor1=:; auditor2=:,,,
hpsem-00091,auditor1=:; auditor2=:,,,
hpsem-00092,auditor1=:; auditor2=:,,,
hpsem-00093,auditor1=:; auditor2=:,,,
hpsem-00094,auditor1=:; auditor2=:,,,
hpsem-00095,auditor1=:; auditor2=:,,,
hpsem-00096,auditor1=:; auditor2=:,,,
hpsem-00097,auditor1=:; auditor2=:,,,
hpsem-00098,auditor1=:; auditor2=:,,,
hpsem-00099,auditor1=:; auditor2=:,,,
hpsem-00100,auditor1=:; auditor2=:,,,
hpsem-00101,auditor1=:; auditor2=:,,,
hpsem-00102,auditor1=:; auditor2=:,,,
hpsem-00103,auditor1=:; auditor2=:,,,
hpsem-00104,auditor1=:; auditor2=:,,,
hpsem-00105,auditor1=:; auditor2=:,,,
hpsem-00106,auditor1=:; auditor2=:,,,
hpsem-00107,auditor1=:; auditor2=:,,,
hpsem-00108,auditor1=:; auditor2=:,,,
hpsem-00109,auditor1=:; auditor2=:,,,
hpsem-00110,auditor1=:; auditor2=:,,,
hpsem-00111,auditor1=:; auditor2=:,,,
hpsem-00112,auditor1=:; auditor2=:,,,
hpsem-00113,auditor1=:; auditor2=:,,,
hpsem-00114,auditor1=:; auditor2=:,,,
hpsem-00115,auditor1=:; auditor2=:,,,
