audit_id,dataset,auditor_id,label_semantic,label_answerable,failure_type,confidence,notes
hpsem-00001,hotpot_qa/distractor,auditor1,,,,,
hpsem-00002,hotpot_qa/distractor,auditor1,,,,,
hpsem-00003,hotpot_qa/distractor,auditor1,,,,,
hpsem-00004,hotpot_qa/distractor,auditor1,,,,,
hpsem-00005,hotpot_qa/distractor,auditor1,,,,,
hpsem-00006,hotpot_qa/distractor,auditor1,,,,,
hpsem-00007,hotpot_qa/distractor,auditor1,,,,,
hpsem-00008,hotpot_qa/distractor,auditor1,,,,,
hpsem-00009,hotpot_qa/distractor,auditor1,,,,,
hpsem-00010,hotpot_qa/distractor,auditor1,,,,,
hpsem-00011,hotpot_qa/distractor,auditor1,,,,,
hpsem-00012,hotpot_qa/distractor,auditor1,,,,,
hpsem-00013,hotpot_qa/distractor,auditor1,,,,,
hpsem-00014,hotpot_qa/distractor,auditor1,,,,,
hpsem-00015,hotpot_qa/distractor,auditor1,,,,,
hpsem-00016,hotpot_qa/distractor,auditor1,,,,,
hpsem-00017,hotpot_qa/distractor,auditor1,,,,,
hpsem-00018,hotpot_qa/distractor,auditor1,,,,,
hpsem-00019,hotpot_qa/distractor,auditor1,,,,,
hpsem-00020,hotpot_qa/distractor,auditor1,,,,,
hpsem-00021,hotpot_qa/distractor,auditor1,,,,,
hpsem-00022,hotpot_qa/distractor,auditor1,,,,,
hpsem-00023,hotpot_qa/distractor,auditor1,,,,,
hpsem-00024,hotpot_qa/distractor,auditor1,,,,,
hpsem-00025,hotpot_qa/distractor,auditor1,,,,,
hpsem-00026,hotpot_qa/distractor,auditor1,,,,,
hpsem-00027,hotpot_qa/distractor,auditor1,,,,,
hpsem-00028,hotpot_qa/distractor,auditor1,,,,,
hpsem-00029,hotpot_qa/distractor,auditor1,,,,,
hpsem-00030,hotpot_qa/distractor,auditor1,,,,,
hpsem-00031,hotpot_qa/distractor,auditor1,,,,,
hpsem-00032,hotpot_qa/distractor,auditor1,,,,,
hpsem-00033,hotpot_qa/distractor,auditor1,,,,,
hpsem-00034,hotpot_qa/distractor,auditor1,,,,,
hpsem-00035,hotpot_qa/distractor,auditor1,,,,,
hpsem-00036,hotpot_qa/distractor,auditor1,,,,,
hpsem-00037,hotpot_qa/distractor,auditor1,,,,,
hpsem-00038,hotpot_qa/distractor,auditor1,,,,,
hpsem-00039,hotpot_qa/distractor,auditor1,,,,,
hpsem-00040,hotpot_qa/distractor,auditor1,,,,,
hpsem-00041,hotpot_qa/distractor,auditor1,,,,,
hpsem-00042,hotpot_qa/distractor,auditor1,,,,,
hpsem-00043,hotpot_qa/distractor,auditor1,,,,,
hpsem-00044,hotpot_qa/distractor,auditor1,,,,,
hpsem-00045,hotpot_qa/distractor,auditor1,,,,,
hpsem-00046,hotpot_qa/distractor,auditor1,,,,,
hpsem-00047,hotpot_qa/distractor,auditor1,,,,,
hpsem-00048,hotpot_qa/distractor,auditor1,,,,,
hpsem-00049,hotpot_qa/distractor,auditor1,,,,,
hpsem-00050,hotpot_qa/distractor,auditor1,,,,,
hpsem-00051,hotpot_qa/distractor,auditor1,,,,,
hpsem-00052,hotpot_qa/distractor,auditor1,,,,,
hpsem-00053,hotpot_qa/distractor,auditor1,,,,,
hpsem-00054,hotpot_qa/distractor,auditor1,,,,,
hpsem-00055,hotpot_qa/distractor,auditor1,,,,,
hpsem-00056,hotpot_qa/distractor,auditor1,,,,,
hpsem-00057,hotpot_qa/distractor,auditor1,,,,,
hpsem-00058,hotpot_qa/distractor,auditor1,,,,,
hpsem-00059,hotpot_qa/distractor,auditor1,,,,,
hpsem-00060,hotpot_qa/distractor,auditor1,,,,,
hpsem-00061,hotpot_qa/distractor,auditor1,,,,,
hpsem-00062,hotpot_qa/distractor,auditor1,,,,,
hpsem-00063,hotpot_qa/distractor,auditor1,,,,,
hpsem-00064,hotpot_qa/distractor,auditor1,,,,,
hpsem-00065,hotpot_qa/distractor,auditor1,,,,,
hpsem-00066,hotpot_qa/distractor,auditor1,,,,,
hpsem-00067,hotpot_qa/distractor,auditor1,,,,,
hpsem-00068,hotpot_qa/distractor,auditor1,,,,,
hpsem-00069,hotpot_qa/distractor,auditor1,,,,,
hpsem-00070,hotpot_qa/distractor,auditor1,,,,,
hpsem-00071,hotpot_qa/distractor,auditor1,,,,,
hpsem-00072,hotpot_qa/distractor,auditor1,,,,,
hpsem-00073,hotpot_qa/distractor,auditor1,,,,,
hpsem-00074,hotpot_qa/distractor,auditor1,,,,,
hpsem-00075,hotpot_qa/distractor,auditor1,,,,,
hpsem-00076,hotpot_qa/distractor,auditor1,,,,,
hpsem-00077,hotpot_qa/distractor,auditor1,,,,,
hpsem-00078,hotpot_qa/distractor,auditor1,,,,,
hpsem-00079,hotpot_qa/distractor,auditor1,,,,,
hpsem-00080,hotpot_qa/distractor,auditor1,,,,,
hpsem-00081,hotpot_qa/distractor,auditor1,,,,,
hpsem-00082,hotpot_qa/distractor,auditor1,,,,,
hpsem-00083,hotpot_qa/distractor,auditor1,,,,,
hpsem-00084,hotpot_qa/distractor,auditor1,,,,,
hpsem-00085,hotpot_qa/distractor,auditor1,,,,,
hpsem-00086,hotpot_qa/distractor,auditor1,,,,,
hpsem-00087,hotpot_qa/distractor,auditor1,,,,,
hpsem-00088,hotpot_qa/distractor,auditor1,,,,,
hpsem-00089,hotpot_qa/distractor,auditor1,,,,,
hpsem-00090,hotpot_qa/distractor,auditor1,,,,,
hpsem-00091,hotpot_qa/distractor,auditor1,,,,,
hpsem-00092,hotpot_qa/distractor,auditor1,,,,,
hpsem-00093,hotpot_qa/distractor,auditor1,,,,,
hpsem-00094,hotpot_qa/distractor,auditor1,,,,,
hpsem-00095,hotpot_qa/distractor,auditor1,,,,,
hpsem-00096,hotpot_qa/distractor,auditor1,,,,,
hpsem-00097,hotpot_qa/distractor,auditor1,,,,,
hpsem-00098,hotpot_qa/distractor,auditor1,,,,,
hpsem-00099,hotpot_qa/distractor,auditor1,,,,,
hpsem-00100,hotpot_qa/distractor,auditor1,,,,,
hpsem-00101,hotpot_qa/distractor,auditor1,,,,,
hpsem-00102,hotpot_qa/distractor,auditor1,,,,,
