audit_id,dataset,auditor_id,label_semantic,label_answerable,failure_type,confidence,notes
v4_paper1000_mixed_blind1000-00801,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00802,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00803,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00804,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00805,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00806,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00807,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00808,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00809,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00810,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00811,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00812,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00813,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00814,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00815,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00816,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00817,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00818,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00819,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00820,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00821,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00822,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00823,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00824,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00825,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00826,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00827,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00828,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00829,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00830,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00831,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00832,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00833,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00834,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00835,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00836,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00837,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00838,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00839,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00840,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00841,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00842,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00843,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00844,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00845,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00846,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00847,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00848,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00849,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00850,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00851,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00852,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00853,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00854,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00855,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00856,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00857,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00858,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00859,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00860,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00861,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00862,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00863,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00864,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00865,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00866,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00867,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00868,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00869,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00870,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00871,hotpot_qa/distractor,auditor2,,,,,
