audit_id,auditor_labels,adjudicated_label_semantic,adjudicated_label_answerable,adjudication_notes
v4_paper1000_mixed_blind1000-00001,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00002,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00003,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00004,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00005,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00006,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00007,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00008,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00009,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00010,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00011,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00012,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00013,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00014,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00015,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00016,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00017,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00018,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00019,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00020,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00021,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00022,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00023,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00024,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00025,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00026,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00027,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00028,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00029,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00030,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00031,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00032,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00033,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00034,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00035,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00036,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00037,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00038,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00039,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00040,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00041,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00042,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00043,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00044,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00045,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00046,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00047,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00048,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00049,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00050,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00051,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00052,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00053,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00054,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00055,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00056,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00057,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00058,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00059,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00060,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00061,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00062,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00063,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00064,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00065,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00066,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00067,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00068,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00069,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00070,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00071,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00072,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00073,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00074,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00075,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00076,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00077,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00078,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00079,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00080,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00081,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00082,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00083,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00084,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00085,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00086,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00087,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00088,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00089,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00090,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00091,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00092,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00093,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00094,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00095,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00096,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00097,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00098,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00099,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00100,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00101,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00102,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00103,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00104,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00105,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00106,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00107,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00108,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00109,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00110,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00111,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00112,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00113,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00114,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00115,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00116,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00117,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00118,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00119,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00120,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00121,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00122,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00123,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00124,auditor1=:; auditor2=:,,,
v4_paper1000_mixed_blind1000-00125,auditor1=:; auditor2=:,,,
